book_id,title,author,genre,avg_rating,popularity
65.0,Face-to-face radical collaboration,Kevin Harvey,Thriller,3.36,2607.0
66.0,Function-based system-worthy help-desk,Fernando Blackwell,Sci-Fi,4.97,6572.0
67.0,Virtual bifurcated methodology,Christopher Whitehead,Thriller,3.7,3568.0
68.0,Networked value-added extranet,Justin White,Romance,4.2,5234.0
69.0,Ameliorated high-level frame,Brian Thompson,Sci-Fi,4.26,5207.0
70.0,Synergistic fresh-thinking software,Leslie Lucas,Thriller,4.07,3689.0
71.0,Ergonomic content-based support,Melissa Velasquez,,3.99,7601.0
72.0,Exclusive explicit frame,Shawn Bass,Romance,4.85,2572.0
73.0,,Mr. Thomas Smith MD,Self-help,3.36,4726.0
74.0,Down-sized 24/7 hub,Jamie Romero,Fantasy,4.66,7603.0
75.0,Monitored asynchronous pricing structure,Emily French,Mystery,4.37,1611.0
76.0,Organized modular extranet,Stephanie Sanders,Romance,4.31,6853.0
77.0,Sharable stable database,Shawn Figueroa,Romance,4.27,3674.0
78.0,Operative discrete flexibility,Thomas Wells,Fantasy,4.24,1320.0
79.0,Down-sized cohesive help-desk,Alicia Miller,Thriller,4.46,375.0
80.0,Open-architected grid-enabled moratorium,Robert Anderson,Romance,3.5,9328.0
81.0,Streamlined holistic orchestration,Brooke Watkins,Mystery,4.37,6067.0
82.0,Customizable asynchronous Graphic Interface,Tina Mack,Fantasy,4.2,6379.0
83.0,Extended 6thgeneration collaboration,Emily Ortega,Thriller,4.73,
84.0,Reduced impactful emulation,Joel Cortez,Thriller,,3921.0
85.0,Distributed secondary installation,Marcus Phillips,Fantasy,4.87,3274.0
86.0,Virtual contextually-based analyzer,Billy Alvarado,Romance,3.59,507.0
87.0,Secured multimedia algorithm,Kristen Davis,Fantasy,3.92,4015.0
88.0,Expanded uniform benchmark,Joshua York,Mystery,3.89,3964.0
89.0,Balanced encompassing orchestration,Sarah Bush,Sci-Fi,4.95,8196.0
90.0,Diverse asymmetric project,Samuel Davis,Mystery,4.61,5428.0
91.0,Enhanced zero tolerance archive,Edward Bates,Self-help,4.82,4012.0
92.0,Customizable transitional hub,Sheila Stephens,Thriller,4.92,113.0
93.0,Public-key modular initiative,Adam Gallagher,Sci-Fi,4.36,6658.0
94.0,Customizable multi-tasking Graphic Interface,Joshua Price,Self-help,4.99,6314.0
95.0,Integrated web-enabled challenge,Megan Williams,Fantasy,3.83,4261.0
96.0,Networked context-sensitive open system,Suzanne Jimenez,Self-help,4.07,9945.0
97.0,Sharable multi-tasking matrices,Erik Murphy,Mystery,4.07,389.0
98.0,User-centric human-resource productivity,Tracy Ross,Romance,4.66,980.0
99.0,Integrated zero-defect synergy,Jeffrey Anderson,Romance,3.8,654.0
100.0,Implemented stable contingency,Charles Conrad,Romance,4.43,8382.0
101.0,Digitized context-sensitive archive,Alan Vaughn,Mystery,3.88,2033.0
102.0,Balanced executive complexity,Kim Flynn,,4.69,9500.0
103.0,Customizable executive superstructure,Mr. Spencer Barton,Sci-Fi,3.22,2769.0
104.0,Total bifurcated array,Lucas Hernandez,Romance,4.31,2326.0
105.0,Virtual incremental parallelism,Vanessa Ramirez,Self-help,4.59,3443.0
106.0,Team-oriented multi-tasking attitude,Kayla Gonzalez,Romance,3.66,1214.0
107.0,User-centric neutral adapter,Shaun Henderson,Thriller,4.42,4010.0
108.0,Ameliorated user-facing solution,Michelle Brown,Sci-Fi,3.68,7286.0
109.0,Monitored dedicated synergy,George Stephens,Romance,3.9,4226.0
110.0,Ergonomic bandwidth-monitored ability,Anthony Pacheco,Thriller,4.19,2295.0
111.0,Future-proofed dynamic moderator,Krista Smith,Fantasy,3.58,3622.0
112.0,Multi-channeled neutral solution,Jason Patrick,,4.13,4772.0
113.0,Down-sized stable time-frame,Lisa Brown,Romance,4.43,9301.0
114.0,Object-based national standardization,Rodney Avila,Mystery,3.95,7207.0
115.0,Fully-configurable discrete conglomeration,Wendy Clark,Mystery,3.31,2107.0
116.0,Profit-focused reciprocal info-mediaries,Sonya Harris,Fantasy,3.58,6296.0
117.0,Polarized incremental synergy,George Wilson,Romance,3.46,3468.0
118.0,Self-enabling needs-based workforce,Patricia Thompson,Thriller,3.3,198.0
119.0,Persevering bi-directional encryption,Eric Waters,Romance,4.44,8468.0
120.0,Adaptive asynchronous core,Jonathan Moore,Romance,4.24,2792.0
121.0,Face-to-face transitional portal,Michael Sweeney,Finance,4.29,9620.0
122.0,Upgradable directional hardware,Julia Greene,Self-help,3.63,6134.0
123.0,Cloned multi-tasking matrices,Todd Doyle,Romance,4.85,2771.0
124.0,Total 3rdgeneration initiative,Karen Cruz,Self-help,3.96,7930.0
125.0,Streamlined 6thgeneration interface,Miranda Petersen,Self-help,3.03,1061.0
126.0,Down-sized 24hour productivity,Kimberly Garcia,Romance,3.62,3676.0
127.0,Streamlined encompassing encryption,Lisa Mcdonald,,4.22,1960.0
128.0,Organic incremental budgetary management,Jonathan Rodriguez,Mystery,3.71,7526.0
129.0,Reverse-engineered intangible paradigm,Maria Weaver,Thriller,4.28,200.0
130.0,Innovative grid-enabled protocol,Nicholas Smith DDS,Horror,4.69,8588.0
131.0,Upgradable coherent standardization,Jacob Ashley,Self-help,4.48,5957.0
132.0,Open-architected national info-mediaries,Lisa Gomez,Mystery,3.8,1620.0
133.0,Cross-platform client-driven Graphic Interface,Eric Hunter,Finance,4.01,
,Re-contextualized cohesive Graphical User Interface,Lance Lambert,Thriller,,8811.0
135.0,Self-enabling scalable access,Nancy Tanner,Self-help,4.94,918.0
136.0,Reduced real-time adapter,Mark Thomas,Romance,4.05,4010.0
137.0,Secured incremental interface,Yolanda Brown,Romance,4.48,4016.0
138.0,Organic object-oriented process improvement,Alex Smith,Fantasy,4.43,2908.0
139.0,Right-sized logistical function,Kathleen Hansen,Fantasy,4.22,9044.0
140.0,Synergized regional orchestration,Donald Mckay,Romance,4.49,1044.0
141.0,Ergonomic real-time website,Elizabeth Jenkins,Self-help,3.27,4961.0
142.0,Fully-configurable executive knowledgebase,Lori Clark,Fantasy,3.46,9596.0
143.0,Upgradable optimal monitoring,Ashley James,Sci-Fi,3.95,1611.0
144.0,Vision-oriented optimal monitoring,Dylan Smith,Thriller,4.56,5225.0
145.0,Robust composite protocol,Renee Liu,Sci-Fi,3.15,7837.0
146.0,Inverse composite capability,Victoria Martin,Fantasy,3.17,3235.0
147.0,Devolved logistical analyzer,Dylan Guzman,Fantasy,4.18,9803.0
148.0,Centralized 3rdgeneration moratorium,Joseph King,Thriller,4.14,9531.0
149.0,Programmable bi-directional throughput,Justin Ryan,Romance,4.81,7253.0
150.0,Realigned content-based secured line,Erin Torres,Sci-Fi,3.39,7476.0
151.0,Quality-focused neutral encoding,Nancy Green,Finance,3.5,6672.0
152.0,User-friendly bi-directional neural-net,William Young,Mystery,3.99,2893.0
153.0,Distributed local toolset,Adam Smith,Romance,3.97,4650.0
154.0,,Olivia Powell,Finance,3.6,8720.0
155.0,Reverse-engineered zero-defect policy,Dalton Pruitt,Fantasy,3.55,9196.0
156.0,Multi-channeled human-resource frame,Dean Cunningham,Thriller,4.25,1827.0
157.0,Organic needs-based secured line,Wanda Reynolds,Finance,4.89,7989.0
158.0,Re-contextualized actuating middleware,Suzanne Gaines,Fantasy,4.79,8349.0
159.0,Streamlined bottom-line moderator,Jason Day,Thriller,3.33,1075.0
160.0,Automated 4thgeneration budgetary management,Christina Watson,Sci-Fi,4.35,1550.0
161.0,Team-oriented bottom-line application,Thomas Turner,Self-help,3.89,8825.0
162.0,Function-based clear-thinking policy,Amanda Webb,Horror,3.39,1782.0
163.0,Synchronized global interface,Tanya Cardenas,Sci-Fi,,8222.0
164.0,Multi-layered composite framework,Jamie Cobb,Romance,4.53,7732.0
165.0,De-engineered bifurcated Graphic Interface,Lisa Graham,Fantasy,3.6,9987.0
166.0,Polarized client-driven functionalities,Patricia Lopez,Fantasy,4.34,5305.0
167.0,Enterprise-wide bottom-line portal,David Frederick,Fantasy,4.53,2815.0
168.0,Stand-alone stable frame,Allen Porter,Self-help,4.22,2575.0
169.0,Polarized human-resource framework,Melinda Nguyen,Romance,4.03,7763.0
170.0,Right-sized directional policy,Christopher Charles,Mystery,4.58,4414.0
171.0,Focused national definition,John Miller,Fantasy,3.53,
172.0,,Colleen Martin,Romance,3.61,5799.0
173.0,Right-sized analyzing ability,Jennifer Barrett,Horror,3.63,5047.0
174.0,Cross-group asymmetric structure,Cynthia Maxwell,Romance,3.79,6835.0
175.0,Digitized scalable Local Area Network,Jeffery Nelson DDS,Fantasy,4.88,907.0
176.0,Upgradable dynamic process improvement,Frank Leonard,Finance,3.71,2293.0
177.0,Reactive fresh-thinking concept,Michael Jackson,Finance,4.53,320.0
178.0,Monitored client-driven structure,Ashley Wilson,Horror,3.4,4194.0
179.0,Profit-focused fresh-thinking matrix,Bradley Jones,Romance,3.75,5274.0
180.0,Mandatory actuating moderator,Amber Parker,Romance,3.76,9144.0
181.0,Cross-group empowering knowledge user,Derrick Hall,Thriller,3.4,3523.0
182.0,Multi-lateral scalable data-warehouse,Charles Gonzales,Mystery,3.88,4489.0
183.0,Progressive upward-trending synergy,Elizabeth Whitaker,Fantasy,3.49,5333.0
184.0,Persistent bottom-line help-desk,Michaela Whitney,Sci-Fi,4.88,9715.0
185.0,Persevering dedicated firmware,Steven Harris,Thriller,4.94,754.0
186.0,Managed discrete matrix,Amanda Lee,Sci-Fi,3.78,7980.0
187.0,Progressive didactic instruction set,Richard Barker,Fantasy,4.97,9603.0
188.0,Front-line secondary model,Veronica Simmons,Romance,3.2,5615.0
189.0,Automated multimedia leverage,Stacy Burnett,Romance,3.74,4657.0
190.0,Realigned asymmetric help-desk,Karen Alvarez,Fantasy,3.27,1213.0
191.0,Advanced executive open architecture,Eugene Brown,Romance,4.55,6780.0
192.0,Enterprise-wide bottom-line intranet,Jennifer Decker,Horror,4.75,9664.0
,Extended fresh-thinking superstructure,Robert Mueller,Romance,3.4,1442.0
194.0,Business-focused bandwidth-monitored migration,Ashley Coleman,Romance,3.66,8956.0
195.0,Polarized content-based frame,James Miller,Sci-Fi,3.52,8701.0
196.0,Polarized leadingedge synergy,Christopher Lamb,Horror,4.38,
197.0,Reverse-engineered asymmetric function,Robert Taylor,Sci-Fi,3.14,5144.0
198.0,,Lori Jordan,Finance,3.72,7305.0
199.0,Mandatory actuating pricing structure,Laurie Johnson,Sci-Fi,3.43,5264.0
200.0,Automated bifurcated application,Kristen Castillo,Thriller,3.92,5457.0
201.0,Re-engineered 3rdgeneration monitoring,Sandra Sutton,Fantasy,4.94,4244.0
202.0,Mandatory cohesive attitude,Kimberly Ortiz,Romance,4.5,380.0
203.0,Programmable explicit forecast,Edward Hill,Fantasy,4.28,7002.0
204.0,Profound zero-defect model,Paul Santana,Romance,3.97,787.0
205.0,Synchronized reciprocal success,Jacob Jackson,Horror,3.12,8393.0
206.0,Multi-layered zero-defect matrix,Michael Bailey,Romance,4.13,526.0
207.0,Programmable clear-thinking model,Sarah Williams,Finance,4.75,5359.0
208.0,Digitized asynchronous intranet,Julie Ryan,Sci-Fi,3.98,9418.0
209.0,Switchable stable product,Sally Evans,Romance,3.13,1238.0
210.0,Quality-focused content-based productivity,Shannon Roach,Thriller,4.95,1841.0
211.0,,Kendra Moon,Thriller,4.6,1438.0
212.0,Fundamental full-range workforce,Derek Howe,Thriller,3.94,3128.0
213.0,Optimized modular task-force,Kelly Myers,Sci-Fi,4.53,7061.0
214.0,Programmable bi-directional artificial intelligence,Daniel Johnson,Horror,3.93,2494.0
215.0,Progressive motivating Graphical User Interface,Sarah Wilson,Mystery,3.15,9425.0
216.0,Configurable object-oriented encryption,Victoria Flowers,Romance,4.06,7085.0
217.0,Configurable even-keeled Graphical User Interface,Stacy Johnson,Self-help,3.8,4814.0
218.0,Secured stable success,Sarah Whitaker,Fantasy,4.66,310.0
,Organic maximized orchestration,Ethan Castro,Fantasy,3.64,2466.0
220.0,Optimized interactive paradigm,Rodney Brooks,Romance,3.45,5352.0
221.0,Self-enabling stable functionalities,Kimberly Smith,Thriller,4.31,3283.0
222.0,Up-sized maximized synergy,Russell Flores,Sci-Fi,4.15,5811.0
223.0,De-engineered systematic infrastructure,Patrick Martinez,Self-help,4.43,9452.0
224.0,Front-line zero tolerance paradigm,David Mathews,Fantasy,4.55,3378.0
225.0,De-engineered object-oriented leverage,Matthew Edwards,Romance,3.2,8740.0
226.0,Decentralized dynamic success,Kenneth Vaughn,Mystery,4.69,2087.0
227.0,Inverse national website,Jonathan Martinez,Thriller,4.91,5366.0
228.0,Horizontal fresh-thinking approach,Elizabeth Espinoza,Self-help,4.86,3422.0
229.0,Expanded impactful architecture,Tasha Pope,Fantasy,3.33,4442.0
230.0,Progressive modular database,James Herman,Fantasy,4.84,5822.0
231.0,Configurable didactic solution,Nathan Morales,Fantasy,4.76,7204.0
232.0,Fully-configurable demand-driven help-desk,Luke Bush,Fantasy,4.9,417.0
233.0,Self-enabling full-range moratorium,,Romance,4.49,3418.0
234.0,Optional background hierarchy,Dorothy Wade,Romance,3.89,6541.0
235.0,Cross-group solution-oriented groupware,Samantha Allen,Fantasy,4.54,9671.0
236.0,Pre-emptive non-volatile contingency,Richard Wilson,Horror,3.19,2869.0
237.0,Multi-tiered explicit encryption,Michael Williams,Thriller,,8463.0
238.0,Devolved multimedia encoding,Christopher Johnson,Fantasy,4.51,1972.0
239.0,Diverse needs-based policy,Ralph Gray,Self-help,4.48,5872.0
240.0,Adaptive global encryption,Joseph Gray,Sci-Fi,3.63,3130.0
241.0,Function-based eco-centric architecture,Melanie Jones,Fantasy,3.18,8306.0
242.0,Customer-focused regional standardization,Travis Walters,Romance,3.51,1835.0
243.0,Expanded full-range monitoring,Madison Evans,Self-help,3.03,6227.0
244.0,Fundamental 6thgeneration hub,Amanda Caldwell,Horror,3.8,1640.0
245.0,Quality-focused 24hour challenge,Daniel Baker MD,Romance,4.89,1070.0
246.0,Expanded interactive challenge,Katrina Garcia,Romance,4.7,4927.0
247.0,,Brian Fischer,Fantasy,4.4,6385.0
248.0,Focused optimizing functionalities,Tammy Johnston,Self-help,3.03,4501.0
249.0,Re-engineered 6thgeneration instruction set,David Avila DVM,Sci-Fi,4.79,744.0
250.0,Robust responsive solution,Laura Thompson,Fantasy,3.5,9251.0
251.0,Public-key well-modulated focus group,Katrina Hubbard,Fantasy,4.04,2298.0
252.0,Intuitive web-enabled hardware,Michael Guerra,Mystery,4.52,1003.0
253.0,Visionary full-range monitoring,Jody Singleton,Thriller,3.42,4802.0
254.0,Decentralized logistical flexibility,Alison Faulkner,Romance,3.83,2581.0
255.0,Reactive next generation capability,Nina Combs,Romance,3.35,8497.0
256.0,Future-proofed zero-defect success,Amanda Torres,Finance,4.48,2976.0
257.0,Expanded optimizing middleware,Stephanie Hunter,Romance,4.85,2661.0
258.0,Expanded neutral leverage,Paul Nixon,Fantasy,3.41,6614.0
259.0,Face-to-face upward-trending emulation,Duane Wells,Mystery,4.82,4345.0
260.0,Advanced eco-centric attitude,Adam Smith,Mystery,3.06,424.0
261.0,Customizable grid-enabled core,Mallory Barnes,Romance,4.78,561.0
262.0,Ameliorated contextually-based moratorium,Casey Baker,Sci-Fi,3.29,6680.0
263.0,Down-sized 6thgeneration firmware,Ryan Huffman,Fantasy,3.75,9806.0
264.0,Focused attitude-oriented pricing structure,Matthew Cole,Sci-Fi,3.34,1641.0
265.0,Devolved 24hour flexibility,Andrea Brown,Fantasy,4.79,1510.0
266.0,Team-oriented modular solution,Michele Garcia,Romance,3.13,7794.0
267.0,Extended cohesive flexibility,Richard Larsen,Thriller,3.83,8794.0
268.0,Stand-alone asynchronous approach,Michelle Collins,Romance,4.71,12.0
269.0,Sharable client-server circuit,Kimberly Owens,Romance,3.94,4209.0
,Reverse-engineered upward-trending support,Brittany Price,Fantasy,4.31,5990.0
271.0,Function-based object-oriented installation,Christopher Miller,Finance,4.34,1580.0
272.0,Proactive exuding utilization,Dylan Baker,Thriller,4.5,9360.0
273.0,Team-oriented secondary service-desk,Jason Rodriguez,Fantasy,3.44,2127.0
274.0,Secured actuating alliance,James Reynolds,,3.29,1347.0
275.0,Team-oriented homogeneous data-warehouse,Adam Payne,Sci-Fi,4.43,4626.0
276.0,Organized system-worthy projection,Timothy Hernandez,Self-help,3.21,3707.0
277.0,Automated 5thgeneration policy,Ricky Myers,Romance,4.46,4934.0
278.0,Operative uniform challenge,Isaac Ortiz,Romance,4.95,9680.0
279.0,Quality-focused optimal algorithm,John Jacobs,Thriller,4.15,4371.0
280.0,Assimilated analyzing attitude,Chad Moses MD,Sci-Fi,3.26,6915.0
281.0,Advanced 4thgeneration website,Luis Davis,Romance,3.29,561.0
282.0,Versatile zero-defect alliance,Carolyn Davis,Sci-Fi,4.6,787.0
283.0,Expanded needs-based implementation,Natalie Kennedy,Sci-Fi,4.96,235.0
284.0,Compatible solution-oriented info-mediaries,Cody Johnson PhD,Fantasy,3.07,3897.0
285.0,Intuitive tertiary time-frame,Jason Rodriguez,Fantasy,3.65,9374.0
,Proactive bifurcated open system,Robert Brandt,Thriller,4.72,3077.0
287.0,Phased 24hour knowledgebase,David Brown,Mystery,,9457.0
288.0,Digitized directional task-force,Scott Arias,Romance,4.99,7426.0
289.0,De-engineered contextually-based hierarchy,Matthew Smith,Mystery,4.09,1931.0
290.0,Mandatory contextually-based data-warehouse,Debra Miller,Sci-Fi,4.31,8430.0
291.0,Upgradable static superstructure,Devon Harmon,Self-help,3.67,3053.0
292.0,Organized methodical contingency,Alexander Craig,Romance,4.61,7985.0
293.0,Operative secondary product,Brandon Leblanc,Sci-Fi,3.91,1582.0
294.0,Phased incremental artificial intelligence,Lindsey Evans,Mystery,3.68,8505.0
295.0,Realigned 4thgeneration service-desk,Travis Wilcox,Romance,4.56,6989.0
296.0,Multi-channeled optimal moratorium,James Anderson,,4.93,2069.0
297.0,Customer-focused object-oriented secured line,Troy Herrera,Fantasy,4.95,1821.0
298.0,Cross-group composite workforce,Stanley Holder,Fantasy,4.43,2070.0
299.0,Total executive superstructure,Kimberly Gutierrez,Self-help,3.61,7147.0
300.0,Polarized next generation interface,Susan Palmer,Thriller,4.88,8270.0
301.0,Operative clear-thinking data-warehouse,Zachary Velez,Fantasy,4.64,8371.0
302.0,Profit-focused multi-tasking flexibility,David Dixon,Fantasy,4.68,3635.0
303.0,Focused leadingedge protocol,Ann Cunningham,Sci-Fi,3.4,5799.0
304.0,Re-engineered 5thgeneration matrix,Ryan Anderson,Thriller,4.56,9223.0
305.0,Optional exuding analyzer,Kenneth Barber,Self-help,4.05,8736.0
306.0,Progressive zero administration customer loyalty,Victor Garrett,Romance,3.46,8698.0
307.0,Exclusive zero tolerance Graphic Interface,Diana Adams,Fantasy,3.32,2714.0
308.0,Optional encompassing knowledge user,Amanda Moore,Mystery,4.72,3708.0
309.0,Face-to-face object-oriented moderator,Donald Lopez,Horror,4.5,2492.0
310.0,Universal 24/7 concept,Christopher Paul,Thriller,4.91,6948.0
311.0,Pre-emptive systemic synergy,Adrian Orr,Self-help,3.56,
312.0,,Antonio Smith,Romance,4.8,6902.0
313.0,Programmable homogeneous encryption,Natasha Mcknight,,3.94,2231.0
314.0,Persevering disintermediate parallelism,Aaron Black,Sci-Fi,3.6,1227.0
315.0,Re-engineered zero administration time-frame,Ann King,Romance,4.11,5106.0
316.0,Open-architected 24hour adapter,Savannah Davis,Fantasy,4.47,9732.0
317.0,Re-contextualized web-enabled support,Samantha Taylor,Finance,3.12,6724.0
318.0,Proactive dedicated knowledgebase,Lauren Patel,Fantasy,3.96,2626.0
319.0,Visionary object-oriented superstructure,Mitchell Williams,Sci-Fi,4.61,3973.0
320.0,Advanced needs-based utilization,Elizabeth Zhang,Romance,3.32,6866.0
321.0,Configurable neutral interface,David Sanchez,Romance,3.39,5742.0
322.0,Business-focused 3rdgeneration policy,Valerie Robertson,Fantasy,4.93,4526.0
323.0,Synergized directional encryption,Steve Sharp,Fantasy,3.8,9600.0
324.0,Fully-configurable local artificial intelligence,Kelly Miller,Self-help,3.3,7265.0
325.0,Cross-group stable portal,Jaclyn Green,Fantasy,3.55,5366.0
326.0,Profit-focused client-server task-force,Renee Hernandez,Fantasy,3.23,5099.0
327.0,Ameliorated content-based productivity,Ryan Smith,Thriller,4.54,9805.0
328.0,Multi-lateral demand-driven Graphic Interface,Diamond Jenkins,Thriller,4.32,4896.0
329.0,Organized fresh-thinking implementation,Lisa Wright,Horror,4.08,9995.0
330.0,Reduced tertiary flexibility,Jessica Hernandez,Thriller,3.14,5594.0
331.0,Business-focused bandwidth-monitored approach,Debra Schneider,Self-help,4.9,672.0
332.0,Ameliorated client-driven strategy,Susan Barker,Romance,4.78,1849.0
333.0,Distributed client-driven projection,Jeremy Nielsen,Mystery,3.85,2760.0
334.0,Horizontal 24hour collaboration,Jeanne Johnson,Self-help,,7984.0
335.0,Monitored motivating architecture,Michael Conway MD,Sci-Fi,3.45,1689.0
336.0,Multi-channeled scalable core,Christopher Arias,Fantasy,4.46,9815.0
337.0,Monitored logistical adapter,Brandon Harvey,Self-help,3.48,8103.0
338.0,Visionary next generation challenge,Evelyn Dunn,Horror,4.93,6909.0
339.0,Synergized intangible architecture,Rachel Villegas,Fantasy,3.21,4591.0
340.0,Monitored non-volatile adapter,Sean Sanders,Horror,4.46,4124.0
341.0,Automated analyzing Local Area Network,Colleen Baker,Mystery,3.66,4117.0
342.0,Open-source 4thgeneration application,Justin Boyd,Finance,3.17,1657.0
343.0,Persevering background algorithm,Shawn Solomon,Sci-Fi,3.97,9598.0
344.0,Exclusive clear-thinking open system,Tammy Simmons,Thriller,4.18,4355.0
345.0,Monitored background capacity,Tanner Potts,Fantasy,4.56,7994.0
346.0,Universal holistic access,Mr. Paul Walker PhD,Thriller,4.67,6158.0
347.0,Upgradable web-enabled firmware,Nicholas Arellano,Mystery,4.74,6269.0
348.0,Integrated solution-oriented conglomeration,Veronica Barnes,Fantasy,3.22,1616.0
349.0,Face-to-face scalable framework,Vincent Rodriguez,Thriller,3.23,3910.0
350.0,Cross-group full-range encoding,Jonathan Paul,Romance,4.35,9893.0
351.0,Self-enabling demand-driven superstructure,Ryan Green,Romance,3.79,654.0
352.0,Monitored next generation instruction set,Zachary Nichols,Romance,4.58,7549.0
353.0,Diverse foreground system engine,Michael Mckenzie,Thriller,4.05,6533.0
354.0,Synchronized contextually-based infrastructure,,Horror,4.26,7075.0
355.0,Operative tertiary workforce,Gregory Hale,Mystery,3.05,9289.0
356.0,Open-architected coherent capacity,Billy House,Fantasy,4.26,5390.0
357.0,Organic incremental moratorium,Scott Adams,Fantasy,4.84,465.0
358.0,Secured explicit leverage,Bobby Moore,Sci-Fi,4.7,4154.0
359.0,Centralized scalable database,Andrew Proctor,Romance,4.37,5774.0
360.0,Customer-focused multimedia framework,Karen Turner,Finance,3.5,7308.0
